행정구역,인구수,남자인구수,여자인구수,0-9세,10-19세,20-29세,30-39세,40-49세,50-59세,60-69세,70-79세,80-89세,90-99세,100세 이상,병원 수,노래방 수,체육시설 수,도서관 수,"박물관,미술관 수",시장 및 마트 수,약국 수,정류장 수,영화관 수,의원 수,PC방 수,카페 수,학교 수,학원 수,일반음식점 수,편의점 수,어린이집 수,유치원 수,종합병원 수
봉담읍,92823,46958,45865,8298,10731,11389,13631,17139,14590,10207,4513,2028,280,17,2,44,66,1,1,44,30,220,3,91,42,5,14,222,856,63,78,15,0
우정읍,17439,9598,7841,639,1353,1718,1557,2493,3635,3283,1688,919,150,4,2,12,16,2,0,12,9,189,0,28,14,1,7,17,348,27,7,5,0
향남읍,85647,46002,39645,8147,10838,9798,13185,17833,12676,7873,3416,1634,245,2,6,53,67,2,3,53,39,256,5,95,92,10,19,203,1254,84,68,16,1
남양읍,55133,29923,25210,4967,4473,7045,9857,9167,8483,6888,2758,1267,218,10,4,33,28,3,0,33,20,215,1,56,37,4,7,83,773,67,49,7,0
매송면,6742,3599,3143,177,403,690,598,765,1348,1515,745,446,55,0,1,2,5,1,0,2,3,70,0,1,3,0,2,7,80,7,1,2,0
비봉면,7009,4003,3006,214,331,730,753,790,1268,1603,768,446,105,1,0,2,7,1,0,2,2,56,0,6,2,0,4,5,106,11,2,2,0
마도면,6854,4139,2715,168,332,590,719,892,1423,1525,717,415,72,1,2,4,4,2,0,4,2,103,2,4,10,0,4,3,137,28,0,2,0
송산면,10830,5948,4882,344,692,894,844,1283,2090,2413,1303,800,163,4,0,11,14,1,0,11,5,145,0,16,17,1,5,13,238,24,3,3,0
서신면,7114,3955,3159,126,284,469,519,692,1445,1958,956,549,115,1,1,9,3,0,0,9,2,163,0,7,2,0,3,1,266,12,1,2,0
팔탄면,9894,6015,3879,259,430,854,954,1305,2175,2314,954,557,91,1,1,19,10,1,0,19,6,174,0,7,21,1,3,1,381,65,5,4,0
장안면,10008,5815,4193,306,521,860,877,1215,1971,2291,1185,691,88,3,0,5,9,0,0,5,3,159,0,1,3,0,6,6,218,42,3,2,0
양감면,3986,2475,1511,75,136,364,377,455,847,995,432,263,41,1,1,5,3,1,0,5,2,110,0,2,4,0,3,1,105,17,0,1,0
정남면,11045,6462,4583,319,607,1152,1121,1417,2258,2353,1073,635,106,4,0,18,6,1,0,18,7,109,0,11,11,2,3,7,252,32,2,2,0
새솔동,25563,12813,12750,4142,3139,2222,4430,5608,3466,1947,407,171,30,1,1,7,10,1,0,7,7,12,0,20,1,0,4,102,251,9,24,5,0
진안동,50485,27402,23083,5212,4232,7286,10600,9187,6898,4344,1828,782,113,3,5,50,41,1,0,50,17,71,0,39,27,2,5,85,550,30,42,10,0
병점1동,36539,18779,17760,3216,3676,6253,6131,6353,5257,3367,1549,654,79,4,1,8,26,0,0,8,11,34,0,43,24,1,3,116,169,23,24,5,0
병점2동,23006,11203,11803,1585,3631,3106,2409,4645,3896,2040,1094,536,64,0,0,11,16,1,0,11,6,28,1,13,15,0,7,79,129,7,18,8,0
반월동,37284,18882,18402,4719,4588,3994,7023,7441,4843,3236,992,387,58,3,1,14,28,0,0,14,15,34,0,33,11,2,7,75,246,14,48,9,0
기배동,16109,8168,7941,1317,1881,2092,1950,2853,2918,1833,886,329,47,3,0,4,19,0,0,4,5,34,0,8,5,0,4,33,65,3,14,5,0
화산동,27157,14365,12792,1899,2280,3553,4082,4482,4671,3742,1632,715,101,0,1,5,11,1,5,5,7,79,0,13,6,2,3,28,203,21,20,4,1
동탄1동,50476,26093,24383,4992,6641,7896,9024,9723,7504,3066,1124,446,59,1,6,36,39,1,0,36,35,66,16,90,52,14,10,328,1046,39,45,8,1
동탄2동,34380,16874,17506,2890,6590,3864,3250,7990,5665,2468,1125,489,48,1,1,4,18,0,0,4,8,39,0,32,7,4,8,172,143,16,16,7,0
동탄3동,40912,21074,19838,4150,5502,6200,7245,8368,5040,2506,1295,533,72,1,1,6,25,1,0,6,11,50,0,34,17,3,6,129,193,23,38,3,0
동탄4동,53389,26533,26856,7010,10101,4429,7309,13671,7089,2583,845,309,38,5,0,2,36,2,0,2,10,24,0,40,3,0,9,196,151,9,34,12,0
동탄5동,46746,23503,23243,5476,5058,5334,10594,9467,5327,3365,1473,571,76,5,1,7,25,2,0,7,14,52,5,41,5,0,9,139,766,45,41,11,0
동탄6동,43247,22242,21005,5282,4896,6373,8741,8798,5422,2474,872,334,55,0,1,18,11,0,0,18,15,70,7,71,15,1,4,96,586,43,32,6,0
동탄7동,56758,28533,28225,7467,7448,5773,10972,12551,6921,3846,1277,440,61,2,1,10,8,0,0,10,14,22,7,72,2,0,8,289,581,22,45,12,0
동탄8동,33572,16881,16691,5704,3654,2651,7662,7477,3329,2134,686,226,48,1,0,0,5,2,0,0,4,24,0,10,1,0,6,67,139,16,33,6,0
동탄9동,39155,19661,19494,6541,4815,3300,8595,8905,3848,2193,697,226,34,1,2,3,9,1,0,3,6,13,0,33,0,0,5,94,169,9,41,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
